,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,quarter(10yrs),ScripCode,Revenue,Financing Profit,Financing Margin %
898,6017,4966,1051,17%,93,21,95,1029,30%,723,5.51,77%,Mar 2016,531642,,,
899,5918,4759,1159,20%,96,17,90,1149,29%,811,6.19,57%,Mar 2017,531642,,,
900,6322,5185,1137,18%,85,16,89,1117,26%,827,6.31,67%,Mar 2018,531642,,,
901,7334,6009,1325,18%,103,40,131,1257,10%,1131,8.63,55%,Mar 2019,531642,,,
902,7315,5846,1469,20%,95,50,140,1374,24%,1043,7.91,85%,Mar 2020,531642,,,
903,8048,6459,1589,20%,107,34,139,1523,21%,1199,9.08,83%,Mar 2021,531642,,,
904,9512,7831,1681,18%,98,39,139,1601,22%,1255,9.48,97%,Mar 2022,531642,,,
905,9764,7954,1810,19%,144,56,155,1743,24%,1322,10.07,0%,Mar 2023,531642,,,
906,26069,21185,4884,19%,-1515,1527,1335,507,291%,-898,-4.02,-27%,Mar 2012,500400,,,
907,33177,27583,5595,17%,375,2642,2052,1277,92%,123,-0.32,-319%,Mar 2013,500400,,,
908,35726,28810,6916,19%,229,3440,2730,975,103%,12,-0.96,-114%,Mar 2014,500400,,,
909,33593,27292,6301,19%,1056,3699,2174,1484,72%,457,0.62,210%,Mar 2015,500400,,,
910,29494,27389,2105,7%,4060,3236,1649,1281,53%,786,2.45,53%,Mar 2016,500400,,,
911,27588,22114,5473,20%,1297,3365,1956,1450,24%,1100,3.31,39%,Mar 2017,500400,,,
912,26840,24545,2295,9%,6586,3761,2346,2773,6%,2611,8.90,15%,Mar 2018,500400,,,
913,29881,26811,3070,10%,7186,4170,2393,3693,29%,2606,8.71,15%,Mar 2019,500400,,,
914,29136,23847,5289,18%,3796,4494,2634,1958,33%,1316,3.76,41%,Mar 2020,500400,,,
915,32703,25747,6956,21%,1739,4010,2745,1941,26%,1439,3.53,44%,Mar 2021,500400,,,
916,42816,36153,6663,16%,2853,3859,3122,2535,15%,2156,5.45,32%,Mar 2022,500400,,,
917,55109,47403,7706,14%,5562,4372,3439,5457,30%,3810,10.44,19%,Mar 2023,500400,,,
918,2605,2183,422,16%,12,78,95,261,33%,182,14.75,25%,Mar 2011,508869,,,
919,3148,2631,517,16%,22,89,124,326,35%,218,16.31,25%,Mar 2012,508869,,,
920,3769,3157,612,16%,33,103,142,399,26%,303,21.88,25%,Mar 2013,508869,,,
921,4357,3681,676,16%,18,119,168,407,25%,315,22.77,25%,Mar 2014,508869,,,
922,5129,4392,737,14%,47,118,212,455,29%,335,24.43,24%,Mar 2015,508869,,,
923,6150,5465,684,11%,92,180,264,332,29%,235,16.99,35%,Mar 2016,508869,,,
924,7256,6522,734,10%,60,257,314,222,41%,131,15.88,38%,Mar 2017,508869,,,
925,8243,7442,801,10%,24,295,359,171,65%,60,8.44,59%,Mar 2018,508869,,,
926,9617,8548,1070,11%,26,327,396,373,47%,200,16.96,35%,Mar 2019,508869,,,
927,11247,9656,1591,14%,222,533,620,660,34%,432,32.70,18%,Mar 2020,508869,,,
928,10560,9420,1140,11%,103,449,573,221,38%,137,10.46,29%,Mar 2021,508869,,,
929,14663,12474,2189,15%,368,379,601,1578,30%,1108,73.42,16%,Mar 2022,508869,,,
930,15857,13879,1978,12%,108,380,623,1083,,796,53.18,,TTM,508869,,,
931,14021,13118,904,6%,627,16,56,1459,5%,1386,9.70,30%,Mar 2012,540133,,,
932,20025,19280,745,4%,900,14,41,1591,5%,1515,10.61,32%,Mar 2013,540133,,,
933,21888,20384,1504,7%,129,15,47,1572,1%,1561,10.92,70%,Mar 2014,540133,,,
934,34453,32798,1655,5%,43,17,40,1642,0%,1640,11.46,51%,Mar 2015,540133,,,
935,20849,19008,1842,9%,0,0,0,1842,10%,1650,11.52,73%,Mar 2016,540133,,,
936,37816,36010,1806,5%,130,15,58,1863,10%,1682,11.72,63%,Mar 2017,540133,,,
937,38832,37062,1771,5%,132,20,44,1839,12%,1619,11.28,59%,Mar 2018,540133,,,
938,41463,40922,541,1%,813,23,57,1274,11%,1139,7.93,40%,Mar 2019,540133,,,
939,21061,21558,-497,-2%,1756,0,61,1198,11%,1067,7.43,11%,Mar 2020,540133,,,
940,84079,85679,-1600,-2%,2879,0,60,1219,22%,956,6.66,30%,Mar 2021,540133,,,
941,62305,63563,-1258,-2%,2285,0,67,961,21%,759,5.28,10%,Mar 2022,540133,,,
942,49404,50287,-883,-2%,1968,0,0,1085,25%,813,5.65,11%,Mar 2023,540133,,,
943,2846,2543,303,11%,31,32,47,254,29%,180,1.86,27%,Mar 2012,509480,,,
944,3227,2856,371,12%,31,38,57,308,29%,218,2.25,29%,Mar 2013,509480,,,
945,3732,3300,431,12%,36,47,71,350,29%,249,2.57,31%,Mar 2014,509480,,,
946,4170,3659,511,12%,36,50,92,404,34%,265,2.73,33%,Mar 2015,509480,,,
947,4223,3578,645,15%,40,27,99,559,34%,371,3.82,31%,Mar 2016,509480,,,
948,4552,3833,719,16%,108,16,108,703,33%,474,4.88,36%,Mar 2017,509480,,,
949,5166,4359,807,16%,46,25,124,705,35%,461,4.75,38%,Mar 2018,509480,,,
950,6062,5127,935,15%,60,47,182,765,35%,494,5.09,37%,Mar 2019,509480,,,
951,6366,5313,1053,17%,69,47,191,883,26%,656,6.77,32%,Mar 2020,509480,,,
952,6818,5635,1182,17%,51,44,211,979,26%,720,7.41,38%,Mar 2021,509480,,,
953,8762,7431,1331,15%,68,51,227,1122,26%,833,8.57,36%,Mar 2022,509480,,,
954,10568,9094,1474,14%,52,99,264,1162,26%,860,8.85,36%,Mar 2023,509480,,,
955,9139,8021,1118,12%,240,876,147,335,44%,187,2.87,17%,Mar 2012,532432,,,
956,10378,9287,1091,11%,146,985,178,73,244%,-105,-1.55,-31%,Mar 2013,532432,,,
957,10508,13876,-3368,-32%,681,1323,203,-4213,-7%,-4489,-61.78,0%,Mar 2014,532432,,,
958,9254,9619,-366,-4%,-360,687,223,-1635,-3%,-1687,-23.23,0%,Mar 2015,532432,,,
959,8495,8162,333,4%,648,457,157,366,61%,143,1.90,0%,Mar 2016,532432,,,
960,8818,7826,991,11%,-265,375,189,163,43%,93,1.38,0%,Mar 2017,532432,,,
961,8591,7381,1209,14%,172,278,192,912,28%,652,8.72,0%,Mar 2018,532432,,,
962,9341,7947,1394,15%,70,237,215,1012,32%,684,9.64,0%,Mar 2019,532432,,,
963,9325,7756,1569,17%,89,212,285,1160,47%,621,9.07,0%,Mar 2020,532432,,,
964,8131,7080,1051,13%,-25,188,299,540,33%,362,5.28,0%,Mar 2021,532432,,,
965,9712,8104,1608,17%,-130,88,304,1087,25%,811,11.40,0%,Mar 2022,532432,,,
966,10612,9196,1416,13%,250,104,282,1279,12%,1126,15.62,0%,Mar 2023,532432,,,
967,7435,6977,459,6%,15,88,158,227,42%,132,2.79,48%,Mar 2012,532343,,,
968,7510,7072,438,6%,130,103,176,290,32%,198,4.16,30%,Mar 2013,532343,,,
969,8384,7892,492,6%,44,80,149,307,39%,187,3.92,37%,Mar 2014,532343,,,
970,10256,9650,605,6%,80,62,179,444,28%,328,6.91,28%,Mar 2015,532343,,,
971,11377,10558,819,7%,93,70,262,580,26%,429,9.03,28%,Mar 2016,532343,,,
972,12463,11591,871,7%,163,60,317,658,23%,509,10.76,23%,Mar 2017,532343,,,
973,16340,14769,1571,10%,71,338,374,931,29%,665,13.73,24%,Mar 2018,532343,,,
974,20160,17997,2163,11%,25,663,442,1083,33%,725,14.83,24%,Mar 2019,532343,,,
975,18849,16585,2264,12%,12,855,556,865,25%,647,13.15,27%,Mar 2020,532343,,,
976,19421,17189,2232,11%,36,881,565,822,26%,608,12.51,28%,Mar 2021,532343,,,
977,24355,21601,2755,11%,-5,940,743,1067,31%,731,15.93,24%,Mar 2022,532343,,,
978,31974,27947,4027,13%,136,1368,859,1936,32%,1309,27.97,18%,Mar 2023,532343,,,
979,14780,14552,228,2%,198,347,72,8,45%,4,0.39,0%,Mar 2014,543458,,,
980,22973,22330,643,3%,152,328,119,348,34%,230,20.09,0%,Mar 2017,543458,,,
981,26354,25433,921,4%,88,298,146,566,34%,375,32.79,0%,Mar 2018,543458,,,
982,28802,27703,1100,4%,122,470,182,570,36%,365,31.95,0%,Mar 2019,543458,,,
983,29657,28345,1312,4%,108,569,242,609,35%,395,34.52,0%,Mar 2020,543458,,,
984,37090,35763,1328,4%,104,407,268,757,14%,655,57.27,0%,Mar 2021,543458,,,
985,52361,50635,1726,3%,169,525,285,1084,25%,808,6.22,0%,Mar 2022,543458,,,
986,55262,53646,1616,3%,257,729,319,825,26%,607,4.67,0%,Mar 2023,543458,,,
987,,4014,,,2196,18818,120,2634,24%,2013,15.66,22%,Mar 2012,500116,23389,557,2%
988,,5932,,,3334,19674,128,2675,29%,1902,14.17,25%,Mar 2013,500116,25076,-531,-2%
989,,7226,,,3112,20558,117,1819,36%,1166,7.18,14%,Mar 2014,500116,26608,-1176,-4%
990,,8424,,,4189,22387,141,1401,32%,957,5.87,13%,Mar 2015,500116,28164,-2647,-9%
991,,14339,,,3518,21931,218,-4912,26%,-3574,-17.44,0%,Mar 2016,500116,28058,-8212,-29%
992,,18130,,,4207,22019,362,-8498,40%,-4997,-24.36,0%,Mar 2017,500116,27805,-12344,-44%
993,,20698,,,7248,17376,377,-8157,0%,-8116,-26.37,0%,Mar 2018,500116,23046,-15028,-65%
994,,24118,,,3535,16162,370,-15013,0%,-14970,-19.37,0%,Mar 2019,500116,22102,-18178,-82%
995,,24097,,,4631,13841,394,-12847,0%,-12819,-12.36,0%,Mar 2020,500116,20854,-17084,-82%
996,,11490,,,4865,11408,397,1532,0%,1532,1.41,0%,Mar 2021,500116,19962,-2936,-15%
997,,11178,,,4959,9125,417,2557,0%,2557,2.36,0%,Mar 2022,500116,18319,-1984,-11%
998,,10731,,,4575,9130,0,5305,31%,3728,3.45,0%,Mar 2023,500116,20592,730,4%
999,2195,1807,389,18%,55,39,63,342,21%,270,7.98,25%,Mar 2011,500420,,,
1000,2691,2189,502,19%,-22,39,82,359,20%,286,8.39,25%,Mar 2012,500420,,,
1001,3203,2506,697,22%,1,34,83,582,25%,435,12.79,45%,Mar 2013,500420,,,
1002,4172,3216,955,23%,34,59,87,844,21%,664,19.62,25%,Mar 2014,500420,,,
1003,4636,3616,1020,22%,286,175,191,940,20%,751,22.19,25%,Mar 2015,500420,,,
1004,6687,3954,2733,41%,32,184,238,2343,26%,1733,51.22,34%,Mar 2016,500420,,,
1005,5816,4438,1377,24%,223,206,307,1088,14%,934,27.59,25%,Mar 2017,500420,,,
1006,5950,4601,1349,23%,299,308,409,931,27%,678,20.04,35%,Mar 2018,500420,,,
1007,7673,5690,1983,26%,-300,504,618,562,22%,436,12.89,66%,Mar 2019,500420,,,
1008,7939,5769,2170,27%,121,451,654,1187,14%,1025,30.28,53%,Mar 2020,500420,,,
1009,8005,5524,2480,31%,57,353,658,1526,18%,1252,36.99,47%,Mar 2021,500420,,,
1010,8508,6077,2431,29%,-288,255,662,1226,37%,777,22.97,105%,Mar 2022,500420,,,
1011,9260,6584,2676,29%,-393,283,673,1327,,831,24.55,,TTM,500420,,,
1012,11249,10445,804,7%,63,57,260,550,33%,373,5.82,24%,Mar 2012,500093,,,
1013,12094,11711,383,3%,-21,95,203,64,158%,-37,-0.56,-213%,Mar 2013,500093,,,
1014,13632,13019,612,4%,281,137,262,495,48%,244,3.90,31%,Mar 2014,500093,,,
1015,5800,5511,289,5%,72,105,245,12,-88%,22,0.37,214%,Mar 2015,500093,,,
1016,5269,5181,88,2%,-230,80,172,-394,-17%,-461,-7.33,0%,Mar 2016,500093,,,
1017,5517,5645,-128,-2%,-5,186,143,-463,-6%,-491,-7.83,0%,Mar 2017,500093,,,
1018,8031,7893,138,2%,-73,426,252,-613,-17%,-715,-11.47,0%,Mar 2018,500093,,,
1019,7998,7699,299,4%,-116,432,225,-475,-7%,-507,-8.03,0%,Mar 2019,500093,,,
1020,5110,5079,31,1%,-861,365,211,-1407,5%,-1331,-21.12,0%,Mar 2020,500093,,,
1021,2964,2848,116,4%,1655,206,138,1427,10%,1280,9.68,0%,Mar 2021,500093,,,
1022,5561,4893,669,12%,550,82,101,1035,12%,913,6.33,0%,Mar 2022,500093,,,
1023,6973,5979,993,14%,286,16,94,1169,18%,963,6.30,24%,Mar 2023,500093,,,
1024,8166,6654,1512,19%,320,0,258,1574,29%,1123,357.56,38%,Dec 2011,500530,,,
1025,8659,7310,1350,16%,369,6,367,1346,29%,958,305.20,20%,Dec 2012,500530,,,
1026,8757,7468,1289,15%,353,0,384,1257,30%,885,281.76,20%,Dec 2013,500530,,,
1027,12086,10104,1981,16%,537,14,548,1956,32%,1338,426.03,20%,Mar 2015,500530,,,
1028,9701,7823,1878,19%,623,13,386,2102,27%,1531,487.72,17%,Mar 2016,500530,,,
1029,10435,8473,1963,19%,912,27,456,2391,27%,1741,570.47,29%,Mar 2017,500530,,,
1030,11690,9597,2093,18%,418,3,467,2041,33%,1371,449.14,22%,Mar 2018,500530,,,
1031,12085,9931,2154,18%,600,13,402,2339,32%,1598,541.81,19%,Mar 2019,500530,,,
1032,9842,8358,1483,15%,-105,10,383,985,34%,650,220.32,48%,Mar 2020,500530,,,
1033,9718,8555,1163,12%,-241,14,341,567,15%,482,163.59,70%,Mar 2021,500530,,,
1034,11782,10325,1457,12%,396,29,324,1500,19%,1217,412.70,51%,Mar 2022,500530,,,
1035,14929,13123,1807,12%,473,12,386,1882,24%,1424,482.99,99%,Mar 2023,500530,,,
1036,466,558,-92,-20%,21,6,29,-107,0%,-107,-3070.18,0%,Mar 2018,543320,,,
1037,1313,3556,-2243,-171%,1285,9,43,-1010,0%,-1010,-28574.18,0%,Mar 2019,543320,,,
1038,2605,4909,-2305,-88%,16,13,84,-2386,0%,-2386,-70096.54,0%,Mar 2020,543320,,,
1039,1994,2461,-467,-23%,-200,10,138,-815,-0%,-816,-23123.76,0%,Mar 2021,543320,,,
1040,4192,6043,-1851,-44%,793,12,150,-1220,-0%,-1222,-1.54,0%,Mar 2022,543320,,,
1041,7079,8290,-1210,-17%,681,49,437,-1015,4%,-971,-1.14,0%,Mar 2023,543320,,,
1042,3562,3044,518,15%,93,60,117,434,27%,317,0.72,28%,Mar 2012,517334,,,
1043,4291,3534,757,18%,92,54,145,650,28%,470,1.05,25%,Mar 2013,517334,,,
1044,4512,3667,845,19%,108,42,153,758,29%,535,1.20,41%,Mar 2014,517334,,,
1045,4973,4098,875,18%,86,30,207,724,29%,515,1.15,51%,Mar 2015,517334,,,
1046,5293,4262,1031,19%,171,47,201,953,25%,719,1.61,46%,Mar 2016,517334,,,
1047,6287,5072,1215,19%,168,12,198,1173,29%,827,1.75,34%,Mar 2017,517334,,,
1048,7466,6134,1332,18%,140,43,218,1211,27%,879,1.86,54%,Mar 2018,517334,,,
1049,7581,6308,1273,17%,186,18,219,1222,33%,814,1.72,58%,Mar 2019,517334,,,
1050,3980,3426,555,14%,733,25,231,1031,13%,899,1.90,53%,Mar 2020,517334,,,
1051,3669,3228,441,12%,417,90,198,570,9%,521,1.10,91%,Mar 2021,517334,,,
1052,5345,4736,609,11%,1020,141,204,1284,9%,1164,1.72,25%,Mar 2022,517334,,,
1053,7355,6535,820,11%,466,145,231,909,15%,774,1.14,0%,Mar 2023,517334,,,
1054,,10472,,,4240,23789,302,7171,31%,5052,29.63,15%,Mar 2012,532461,37495,3234,9%
1055,,12456,,,4310,27802,336,6786,27%,5020,28.03,19%,Mar 2013,532461,43071,2812,7%
1056,,16112,,,4710,28220,367,4969,29%,3674,19.98,10%,Mar 2014,532461,44958,626,1%
1057,,18760,,,6175,31343,384,4397,24%,3525,18.33,18%,Mar 2015,532461,48710,-1394,-3%
1058,,27453,,,6100,34331,413,-5293,31%,-3510,-18.79,-2%,Mar 2016,532461,50804,-10980,-22%
1059,,22533,,,9168,32722,430,1540,41%,1239,5.58,0%,Mar 2017,532461,48058,-7197,-15%
1060,,43345,,,8883,33530,581,-19849,37%,-12111,-43.88,0%,Mar 2018,532461,48725,-28151,-58%
1061,,39645,,,7367,34656,584,-15370,35%,-9550,-20.79,0%,Mar 2019,532461,52147,-22153,-42%
1062,,25867,,,9388,36997,614,827,56%,485,0.65,0%,Mar 2020,532461,54918,-7946,-14%
1063,,38601,,,12777,50805,982,4325,38%,2695,2.45,0%,Mar 2021,532461,81935,-7470,-9%
1064,,36026,,,12329,46823,896,4826,19%,3908,3.51,18%,Mar 2022,532461,76242,-6607,-9%
1065,,42406,,,12240,51817,0,4861,37%,3359,3.04,0%,Mar 2023,532461,86845,-7378,-8%
1066,25275,21722,3553,14%,430,12,1107,2864,26%,2102,105.30,62%,Mar 2014,500182,,,
1067,27538,24018,3520,13%,325,12,540,3292,29%,2364,118.42,51%,Mar 2015,500182,,,
1068,28457,24033,4424,16%,421,15,443,4387,29%,3112,157.34,46%,Mar 2016,500182,,,
1069,28610,24025,4585,16%,830,27,502,4885,27%,3546,179.49,47%,Mar 2017,500182,,,
1070,32458,27124,5334,16%,564,31,575,5292,30%,3722,186.29,51%,Mar 2018,500182,,,
1071,33971,28946,5025,15%,741,37,624,5104,32%,3466,172.44,50%,Mar 2019,500182,,,
1072,29254,25184,4070,14%,1434,47,846,4611,21%,3659,182.14,49%,Mar 2020,500182,,,
1073,30959,26902,4058,13%,553,46,715,3849,24%,2936,146.05,72%,Mar 2021,500182,,,
1074,29551,26295,3256,11%,545,53,690,3058,24%,2329,115.95,82%,Mar 2022,500182,,,
1075,34158,30065,4094,12%,572,105,697,3864,28%,2800,140.61,71%,Mar 2023,500182,,,
1076,,6535,,,3105,23159,159,4066,20%,3306,68.58,15%,Mar 2012,532483,30816,1121,4%
1077,,7217,,,3308,26198,191,3771,22%,2995,60.94,19%,Mar 2013,532483,34070,655,2%
1078,,9636,,,4144,30606,230,3242,20%,2672,51.84,19%,Mar 2014,532483,39570,-672,-2%
1079,,10302,,,4733,34133,429,3683,22%,2931,54.81,17%,Mar 2015,532483,43813,-621,-1%
1080,,17785,,,5266,34263,172,-2914,13%,-2535,-43.65,0%,Mar 2016,532483,44039,-8008,-18%
1081,,15691,,,7852,31540,331,1746,29%,1411,22.74,4%,Mar 2017,532483,41457,-5775,-14%
1082,,25582,,,7398,29113,456,-6408,36%,-3873,-53.89,0%,Mar 2018,532483,41345,-13350,-32%
1083,,27202,,,9907,32339,429,-2111,126%,696,7.99,0%,Mar 2019,532483,47951,-11590,-24%
1084,,26809,,,11799,35817,446,-1514,-34%,-1921,-19.28,0%,Mar 2020,532483,49759,-12867,-26%
1085,,43437,,,23086,45182,838,3882,30%,2957,17.55,0%,Mar 2021,532483,70253,-18367,-26%
1086,,41235,,,23643,43035,841,9145,37%,6158,33.76,19%,Mar 2022,532483,70614,-13657,-19%
1087,,43793,,,25325,52990,0,14427,25%,11345,62.04,19%,Mar 2023,532483,85885,-10898,-13%
1088,1608,1467,141,9%,59,100,96,5,-236%,16,0.29,0%,Mar 2017,543220,,,
1089,1729,1616,113,7%,65,99,94,-15,-65%,-25,-0.47,0%,Mar 2018,543220,,,
1090,1691,1535,156,9%,56,101,103,8,102%,-0,-0.06,0%,Mar 2019,543220,,,
1091,1059,965,94,9%,48,83,46,13,-1%,59,1.10,0%,Mar 2020,543220,,,
1092,2508,2101,407,16%,-122,179,174,-69,-67%,-138,-1.42,0%,Mar 2021,543220,,,
1093,3931,2986,946,24%,115,101,221,739,18%,605,6.24,0%,Mar 2022,543220,,,
1094,4563,3322,1241,27%,139,84,232,1064,-4%,1104,11.37,0%,Mar 2023,543220,,,
1095,3444,2894,550,16%,65,212,255,148,82%,41,0.03,"2,471%",Mar 2012,500850,,,
1096,3743,3202,542,14%,-374,171,288,-292,-34%,-389,-4.00,-15%,Mar 2013,500850,,,
1097,4066,3504,562,14%,-497,169,308,-412,-27%,-536,-5.14,0%,Mar 2014,500850,,,
1098,4189,3762,427,10%,-193,176,291,-232,-49%,-347,-3.51,0%,Mar 2015,500850,,,
1099,4023,3411,612,15%,-43,376,285,-91,-99%,-203,-1.75,-13%,Mar 2016,500850,,,
1100,4021,3411,610,15%,44,324,299,31,372%,-46,-0.48,-55%,Mar 2017,500850,,,
1101,4104,3432,671,16%,83,269,301,184,66%,104,0.76,47%,Mar 2018,500850,,,
1102,4512,3682,830,18%,90,190,328,402,39%,296,2.17,21%,Mar 2019,500850,,,
1103,4463,3496,968,22%,173,341,404,396,11%,364,2.68,17%,Mar 2020,500850,,,
1104,1575,1937,-362,-23%,325,403,410,-850,18%,-796,-5.45,-7%,Mar 2021,500850,,,
1105,3056,2651,405,13%,171,428,406,-258,14%,-265,-1.74,-23%,Mar 2022,500850,,,
1106,5810,4005,1805,31%,142,236,416,1295,25%,1053,7.06,14%,Mar 2023,500850,,,
1107,1845,1924,-79,-4%,98,22,41,-44,-7%,-46,-1.39,-47%,Mar 2012,500251,,,
1108,2132,2128,5,0%,58,29,45,-10,-262%,-27,-0.81,-87%,Mar 2013,500251,,,
1109,2333,2343,-10,-0%,91,26,54,1,"1,357%",-19,-0.56,-125%,Mar 2014,500251,,,
1110,2284,2196,88,4%,208,22,75,200,35%,129,3.89,26%,Mar 2015,500251,,,
1111,1686,1596,90,5%,86,48,39,90,39%,55,1.66,54%,Mar 2016,500251,,,
1112,1812,1679,134,7%,81,46,41,128,34%,85,2.55,39%,Mar 2017,500251,,,
1113,2157,1949,208,10%,27,44,46,147,41%,87,2.62,44%,Mar 2018,500251,,,
1114,2630,2390,241,9%,30,51,52,168,44%,95,2.92,45%,Mar 2019,500251,,,
1115,3486,2957,529,15%,147,263,247,165,36%,106,3.46,29%,Mar 2020,500251,,,
1116,2593,2479,114,4%,199,261,257,-205,12%,-181,-4.11,-15%,Mar 2021,500251,,,
1117,4498,3903,595,13%,152,325,311,111,69%,35,2.98,57%,Mar 2022,500251,,,
1118,8242,7128,1114,14%,341,409,494,552,29%,394,12.51,18%,Mar 2023,500251,,,
1119,3918,3141,778,20%,209,18,28,941,26%,694,17.33,0%,Mar 2018,543904,,,
1120,3829,3124,705,18%,64,40,38,691,26%,514,12.83,0%,Mar 2019,543904,,,
1121,4794,3550,1244,26%,94,11,62,1265,24%,958,23.92,32%,Mar 2020,543904,,,
1122,5523,4151,1372,25%,154,8,78,1440,25%,1084,27.07,0%,Mar 2021,543904,,,
1123,7257,5457,1800,25%,163,44,121,1798,26%,1335,33.33,0%,Mar 2022,543904,,,
1124,3549,4391,-842,-24%,498,7,45,-395,-5%,-416,-9.54,0%,Mar 2012,540716,,,
1125,4012,4191,-178,-4%,586,8,49,351,-0%,353,8.07,0%,Mar 2013,540716,,,
1126,4352,4578,-225,-5%,817,9,50,533,3%,520,11.69,0%,Mar 2014,540716,,,
1127,4234,4456,-221,-5%,992,12,54,705,17%,585,13.11,15%,Mar 2015,540716,,,
1128,6033,5269,764,13%,0,0,57,708,28%,507,11.34,26%,Mar 2016,540716,,,
1129,7520,6601,919,12%,-2,0,7,910,23%,702,15.56,22%,Mar 2017,540716,,,
1130,6912,7174,-262,-4%,1569,59,51,1196,28%,862,18.98,17%,Mar 2018,540716,,,
1131,11163,9494,1669,15%,-2,70,0,1598,34%,1049,23.10,26%,Mar 2019,540716,,,
1132,11517,9745,1772,15%,15,0,90,1697,30%,1194,26.27,13%,Mar 2020,540716,,,
1133,12183,10594,1589,13%,495,0,130,1954,25%,1473,32.40,25%,Mar 2021,540716,,,
1134,16026,15010,1016,6%,809,0,141,1684,24%,1271,25.89,35%,Mar 2022,540716,,,
1135,17876,16758,1118,6%,995,0,0,2113,18%,1729,35.21,27%,Mar 2023,540716,,,
1136,7671,6321,1351,18%,85,415,292,729,18%,561,8.02,21%,Mar 2012,512070,,,
1137,9186,7531,1654,18%,72,429,354,944,22%,773,11.67,14%,Mar 2013,512070,,,
1138,10771,8753,2018,19%,30,485,407,1157,19%,957,14.77,18%,Mar 2014,512070,,,
1139,12091,9728,2363,20%,-11,517,425,1410,17%,1187,17.79,19%,Mar 2015,512070,,,
1140,14048,11700,2348,17%,149,704,676,1117,15%,952,14.62,23%,Mar 2016,512070,,,
1141,16312,13346,2966,18%,363,735,672,1922,10%,1733,22.71,20%,Mar 2017,512070,,,
1142,17378,13966,3412,20%,351,783,675,2305,12%,2030,26.51,20%,Mar 2018,512070,,,
1143,21837,18024,3813,17%,-197,963,880,1773,11%,1575,19.52,27%,Mar 2019,512070,,,
1144,35756,28984,6772,19%,-515,1481,2012,2764,21%,2178,23.24,26%,Mar 2020,512070,,,
1145,38694,30342,8352,22%,62,2060,2173,4181,16%,3495,37.58,27%,Mar 2021,512070,,,
1146,46240,36711,9529,21%,91,2295,2359,4966,11%,4437,47.46,21%,Mar 2022,512070,,,
1147,53576,43380,10196,19%,464,2963,2547,5150,14%,4414,47.56,21%,Mar 2023,512070,,,
1148,18209,11410,6799,37%,310,533,1386,5189,23%,4022,42.41,4%,Mar 2012,532286,,,
1149,19807,13701,6106,31%,333,1067,1539,3833,24%,2952,31.13,5%,Mar 2013,532286,,,
1150,19286,13487,5799,30%,349,1807,1829,2512,25%,1896,20.88,7%,Mar 2014,532286,,,
1151,19401,13937,5464,28%,-1399,2875,2733,-1543,6%,-1452,-13.97,0%,Mar 2015,532286,,,
1152,19469,16032,3437,18%,-79,3254,4068,-3964,22%,-3087,-32.42,0%,Mar 2016,532286,,,
1153,21603,16894,4709,22%,-362,3441,3949,-3043,17%,-2538,-24.93,0%,Mar 2017,532286,,,
1154,33286,26817,6469,19%,-584,3866,3883,-1864,13%,-1616,-14.56,0%,Mar 2018,532286,,,
1155,46966,38553,8412,18%,-1470,4264,5480,-2802,14%,-2412,-17.00,0%,Mar 2019,532286,,,
1156,37923,31092,6831,18%,74,3768,3429,-291,-37%,-400,-1.07,0%,Mar 2020,532286,,,
1157,34579,23646,10933,32%,313,2753,2414,6078,30%,4267,35.62,0%,Mar 2021,532286,,,
1158,51166,37089,14076,28%,-401,1888,2097,9690,30%,6766,56.40,5%,Mar 2022,532286,,,
1159,52711,42776,9935,19%,-532,1446,2691,5266,25%,3974,31.11,6%,Mar 2023,532286,,,
