,sentence,prefix,suffix,dir,header,ScripCode,dir_status
17,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 13.93% vs 8.16% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 13.93% vs 8.16% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532540,good
18,Interest - YoY Growth in quarter ended Mar 2023 is 11.02% vs 77.54% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 11.02% vs 77.54% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532540,good
19,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532540,bad
20,Interest Earned - YoY Growth in quarter ended Mar 2023 is 34.89% vs 9.94% in Mar 2022,Interest Earned,YoY Growth in quarter ended Mar 2023 is 34.89% vs 9.94% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500180,good
21,Net Profit - YoY Growth in quarter ended Mar 2023 is 19.81% vs 22.83% in Mar 2022,Net Profit,YoY Growth in quarter ended Mar 2023 is 19.81% vs 22.83% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500180,bad
22,Operating Profit (PBDIT) - YoY Growth in quarter ended Mar 2023 is 13.84% vs 5.31% in Mar 2022,Operating Profit (PBDIT),YoY Growth in quarter ended Mar 2023 is 13.84% vs 5.31% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500180,good
23,% of Net NPAs - YoY Growth in quarter ended Mar 2023 is -0.05% vs -0.08% in Mar 2022,% of Net NPAs,YoY Growth in quarter ended Mar 2023 is -0.05% vs -0.08% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500180,bad
24,% of Gross NPAs - YoY Growth in quarter ended Mar 2023 is -0.05% vs -0.15% in Mar 2022,% of Gross NPAs,YoY Growth in quarter ended Mar 2023 is -0.05% vs -0.15% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500180,bad
25,Interest Earned - QoQ Growth in quarter ended Mar 2023 is 5.65% vs 10.68% in Dec 2022,Interest Earned,QoQ Growth in quarter ended Mar 2023 is 5.65% vs 10.68% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500180,bad
26,Net Profit - QoQ Growth in quarter ended Mar 2023 is -1.73% vs 15.59% in Dec 2022,Net Profit,QoQ Growth in quarter ended Mar 2023 is -1.73% vs 15.59% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500180,bad
27,Operating Profit (PBDIT) - QoQ Growth in quarter ended Mar 2023 is -2.12% vs 9.38% in Dec 2022,Operating Profit (PBDIT),QoQ Growth in quarter ended Mar 2023 is -2.12% vs 9.38% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500180,bad
28,% of Net NPAs - QoQ Growth in quarter ended Mar 2023 is -0.06% vs 0.00% in Dec 2022,% of Net NPAs,QoQ Growth in quarter ended Mar 2023 is -0.06% vs 0.00% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500180,good
29,% of Gross NPAs - QoQ Growth in quarter ended Mar 2023 is -0.11% vs 0.00% in Dec 2022,% of Gross NPAs,QoQ Growth in quarter ended Mar 2023 is -0.11% vs 0.00% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500180,good
30,Interest Earned - QoQ Growth in quarter ended Mar 2023 is 8.82% vs 9.50% in Dec 2022,Interest Earned,QoQ Growth in quarter ended Mar 2023 is 8.82% vs 9.50% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532174,bad
31,Net Profit - QoQ Growth in quarter ended Mar 2023 is 9.75% vs 9.98% in Dec 2022,Net Profit,QoQ Growth in quarter ended Mar 2023 is 9.75% vs 9.98% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532174,bad
32,Operating Profit (PBDIT) - QoQ Growth in quarter ended Mar 2023 is 4.18% vs 13.62% in Dec 2022,Operating Profit (PBDIT),QoQ Growth in quarter ended Mar 2023 is 4.18% vs 13.62% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532174,bad
33,% of Net NPAs - QoQ Growth in quarter ended Mar 2023 is -0.07% vs -0.06% in Dec 2022,% of Net NPAs,QoQ Growth in quarter ended Mar 2023 is -0.07% vs -0.06% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,532174,good
34,% of Gross NPAs - QoQ Growth in quarter ended Mar 2023 is -0.26% vs -0.12% in Dec 2022,% of Gross NPAs,QoQ Growth in quarter ended Mar 2023 is -0.26% vs -0.12% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,532174,good
35,Interest Earned - YoY Growth in quarter ended Mar 2023 is 36.81% vs 14.28% in Mar 2022,Interest Earned,YoY Growth in quarter ended Mar 2023 is 36.81% vs 14.28% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532174,good
36,Net Profit - YoY Growth in quarter ended Mar 2023 is 29.97% vs 59.42% in Mar 2022,Net Profit,YoY Growth in quarter ended Mar 2023 is 29.97% vs 59.42% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532174,bad
37,Operating Profit (PBDIT) - YoY Growth in quarter ended Mar 2023 is 34.33% vs 20.53% in Mar 2022,Operating Profit (PBDIT),YoY Growth in quarter ended Mar 2023 is 34.33% vs 20.53% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532174,good
38,% of Net NPAs - YoY Growth in quarter ended Mar 2023 is -0.28% vs -0.38% in Mar 2022,% of Net NPAs,YoY Growth in quarter ended Mar 2023 is -0.28% vs -0.38% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532174,bad
39,% of Gross NPAs - YoY Growth in quarter ended Mar 2023 is -0.79% vs -1.36% in Mar 2022,% of Gross NPAs,YoY Growth in quarter ended Mar 2023 is -0.79% vs -1.36% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532174,bad
40,Net Sales - QoQ Growth in quarter ended Mar 2023 is -2.45% vs 2.99% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is -2.45% vs 2.99% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500696,bad
41,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 5.09% vs -7.17% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 5.09% vs -7.17% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500696,good
42,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is -3.28% vs 6.18% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is -3.28% vs 6.18% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500696,bad
43,Interest - QoQ Growth in quarter ended Mar 2023 is 0.00% vs 3.57% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 0.00% vs 3.57% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500696,good
44,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500696,bad
45,Net Sales - YoY Growth in quarter ended Mar 2023 is 10.52% vs 10.73% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 10.52% vs 10.73% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500696,bad
46,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 12.85% vs 5.40% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 12.85% vs 5.40% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500696,good
47,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 8.24% vs 8.48% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 8.24% vs 8.48% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500696,bad
48,Interest - YoY Growth in quarter ended Mar 2023 is -23.68% vs 245.45% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is -23.68% vs 245.45% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500696,good
49,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500696,bad
50,Net Sales - QoQ Growth in quarter ended Mar 2023 is -2.29% vs 4.87% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is -2.29% vs 4.87% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500209,bad
51,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is -6.95% vs 9.38% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is -6.95% vs 9.38% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500209,bad
52,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is -3.94% vs 5.22% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is -3.94% vs 5.22% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500209,bad
53,Interest - QoQ Growth in quarter ended Mar 2023 is 2.50% vs 21.21% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 2.50% vs 21.21% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500209,good
54,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500209,bad
55,Net Sales - YoY Growth in quarter ended Mar 2023 is 16.00% vs 22.67% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 16.00% vs 22.67% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500209,bad
56,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 7.77% vs 12.02% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 7.77% vs 12.02% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500209,bad
57,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 14.68% vs 7.91% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 14.68% vs 7.91% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500209,good
58,Interest - YoY Growth in quarter ended Mar 2023 is 64.00% vs 0.00% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 64.00% vs 0.00% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500209,bad
59,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has fallen from Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500209,bad
60,Net Sales - YoY Growth in quarter ended Mar 2023 is 6.52% vs 15.43% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 6.52% vs 15.43% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500875,bad
61,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 23.35% vs 11.72% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 23.35% vs 11.72% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500875,good
62,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 18.30% vs 14.95% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 18.30% vs 14.95% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500875,good
63,Interest - YoY Growth in quarter ended Mar 2023 is 13.45% vs 271.88% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 13.45% vs 271.88% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500875,good
64,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500875,good
65,Net Sales - QoQ Growth in quarter ended Mar 2023 is -0.39% vs 3.49% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is -0.39% vs 3.49% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500875,bad
66,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 3.37% vs 8.37% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 3.37% vs 8.37% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500875,bad
67,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is -1.20% vs 7.12% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is -1.20% vs 7.12% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500875,bad
68,Interest - QoQ Growth in quarter ended Mar 2023 is 31.92% vs -26.85% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 31.92% vs -26.85% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500875,bad
69,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has fallen from Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500875,bad
70,Interest Earned - YoY Growth in quarter ended Mar 2023 is 31.41% vs 8.65% in Mar 2022,Interest Earned,YoY Growth in quarter ended Mar 2023 is 31.41% vs 8.65% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500112,good
71,Net Profit - YoY Growth in quarter ended Mar 2023 is 83.18% vs 41.28% in Mar 2022,Net Profit,YoY Growth in quarter ended Mar 2023 is 83.18% vs 41.28% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500112,good
72,Operating Profit (PBDIT) - YoY Growth in quarter ended Mar 2023 is 24.87% vs 0.08% in Mar 2022,Operating Profit (PBDIT),YoY Growth in quarter ended Mar 2023 is 24.87% vs 0.08% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500112,good
73,% of Net NPAs - YoY Growth in quarter ended Mar 2023 is -0.35% vs -0.48% in Mar 2022,% of Net NPAs,YoY Growth in quarter ended Mar 2023 is -0.35% vs -0.48% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500112,bad
74,% of Gross NPAs - YoY Growth in quarter ended Mar 2023 is -1.19% vs -1.01% in Mar 2022,% of Gross NPAs,YoY Growth in quarter ended Mar 2023 is -1.19% vs -1.01% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500112,good
75,Interest Earned - QoQ Growth in quarter ended Mar 2023 is 7.31% vs 8.46% in Dec 2022,Interest Earned,QoQ Growth in quarter ended Mar 2023 is 7.31% vs 8.46% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500112,bad
76,Net Profit - QoQ Growth in quarter ended Mar 2023 is 17.52% vs 7.09% in Dec 2022,Net Profit,QoQ Growth in quarter ended Mar 2023 is 17.52% vs 7.09% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500112,good
77,Operating Profit (PBDIT) - QoQ Growth in quarter ended Mar 2023 is -2.37% vs 19.41% in Dec 2022,Operating Profit (PBDIT),QoQ Growth in quarter ended Mar 2023 is -2.37% vs 19.41% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500112,bad
78,% of Net NPAs - QoQ Growth in quarter ended Mar 2023 is -0.10% vs -0.03% in Dec 2022,% of Net NPAs,QoQ Growth in quarter ended Mar 2023 is -0.10% vs -0.03% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500112,good
79,% of Gross NPAs - QoQ Growth in quarter ended Mar 2023 is -0.36% vs -0.38% in Dec 2022,% of Gross NPAs,QoQ Growth in quarter ended Mar 2023 is -0.36% vs -0.38% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500112,bad
80,Net Sales - YoY Growth in quarter ended Mar 2023 is 27.36% vs -1.94% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 27.36% vs -1.94% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500010,good
81,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 18.04% vs 20.72% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 18.04% vs 20.72% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500010,bad
82,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 33.47% vs 9.95% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 33.47% vs 9.95% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500010,good
83,Interest - YoY Growth in quarter ended Mar 2023 is 51.10% vs 3.88% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 51.10% vs 3.88% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500010,bad
84,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500010,good
85,Net Sales - QoQ Growth in quarter ended Mar 2023 is 8.32% vs -6.17% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is 8.32% vs -6.17% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500010,good
86,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 14.21% vs 1.86% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 14.21% vs 1.86% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500010,good
87,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is 12.17% vs 6.43% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is 12.17% vs 6.43% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500010,good
88,Interest - QoQ Growth in quarter ended Mar 2023 is 5.35% vs 13.35% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 5.35% vs 13.35% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500010,good
89,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,500010,good
90,Net Sales - QoQ Growth in quarter ended Mar 2023 is 0.57% vs 3.70% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is 0.57% vs 3.70% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532454,bad
91,Consolidated Net Profit - QoQ Growth in quarter ended Mar 2023 is 89.25% vs -25.96% in Dec 2022,Consolidated Net Profit,QoQ Growth in quarter ended Mar 2023 is 89.25% vs -25.96% in Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,532454,good
92,Operating Profit (PBDIT) excl Other Income - QoQ Growth in quarter ended Mar 2023 is 1.32% vs 4.88% in Dec 2022,Operating Profit (PBDIT) excl Other Income,QoQ Growth in quarter ended Mar 2023 is 1.32% vs 4.88% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532454,bad
93,Interest - QoQ Growth in quarter ended Mar 2023 is 10.19% vs -5.16% in Dec 2022,Interest,QoQ Growth in quarter ended Mar 2023 is 10.19% vs -5.16% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,532454,bad
94,Operating Profit Margin (Excl OI) - QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,Operating Profit Margin (Excl OI),QoQ Growth in quarter ended Mar 2023 has improved from Dec 2022,1.0,Quarterly Analysis Highlights - QoQ,532454,good
95,Net Sales - YoY Growth in quarter ended Mar 2023 is 14.31% vs 22.34% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 14.31% vs 22.34% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532454,bad
96,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 49.70% vs 164.46% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 49.70% vs 164.46% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532454,bad
97,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 16.56% vs 30.07% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 16.56% vs 30.07% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532454,bad
98,Interest - YoY Growth in quarter ended Mar 2023 is 27.19% vs 5.15% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 27.19% vs 5.15% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,532454,bad
99,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,1.0,Quarterly Analysis Highlights - YoY,532454,good
100,Net Sales - YoY Growth in quarter ended Mar 2023 is 31.69% vs 25.92% in Mar 2022,Net Sales,YoY Growth in quarter ended Mar 2023 is 31.69% vs 25.92% in Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500034,good
101,Consolidated Net Profit - YoY Growth in quarter ended Mar 2023 is 30.51% vs 79.67% in Mar 2022,Consolidated Net Profit,YoY Growth in quarter ended Mar 2023 is 30.51% vs 79.67% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500034,bad
102,Operating Profit (PBDIT) excl Other Income - YoY Growth in quarter ended Mar 2023 is 34.49% vs 44.62% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in quarter ended Mar 2023 is 34.49% vs 44.62% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500034,bad
103,Interest - YoY Growth in quarter ended Mar 2023 is 39.85% vs 16.98% in Mar 2022,Interest,YoY Growth in quarter ended Mar 2023 is 39.85% vs 16.98% in Mar 2022,-1.0,Quarterly Analysis Highlights - YoY,500034,bad
104,Operating Profit Margin (Excl OI) - YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in quarter ended Mar 2023 has improved from Mar 2022,1.0,Quarterly Analysis Highlights - YoY,500034,good
105,Net Sales - QoQ Growth in quarter ended Mar 2023 is 5.33% vs 8.16% in Dec 2022,Net Sales,QoQ Growth in quarter ended Mar 2023 is 5.33% vs 8.16% in Dec 2022,-1.0,Quarterly Analysis Highlights - QoQ,500034,bad
