,sentence,prefix,suffix,dir,header,ScripCode,dir_status
27,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 11.56% vs 12.92% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 11.56% vs 12.92% in Mar 2022,-1.0,Annual Analysis Highlights,500209,bad
28,Interest - YoY Growth in year ended Mar 2023 is 42.00% vs 2.56% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 42.00% vs 2.56% in Mar 2022,-1.0,Annual Analysis Highlights,500209,bad
29,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,500209,bad
30,Net Sales - YoY Growth in year ended Mar 2023 is 16.93% vs 23.13% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 16.93% vs 23.13% in Mar 2022,-1.0,Annual Analysis Highlights,500875,bad
31,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 25.91% vs 15.82% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 25.91% vs 15.82% in Mar 2022,1.0,Annual Analysis Highlights,500875,good
32,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 24.23% vs 21.50% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 24.23% vs 21.50% in Mar 2022,1.0,Annual Analysis Highlights,500875,good
33,Interest - YoY Growth in year ended Mar 2023 is 9.76% vs -11.71% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 9.76% vs -11.71% in Mar 2022,-1.0,Annual Analysis Highlights,500875,bad
34,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500875,good
35,Interest Earned - YoY Growth in year ended Mar 2023 is 20.56% vs 3.89% in Mar 2022,Interest Earned,YoY Growth in year ended Mar 2023 is 20.56% vs 3.89% in Mar 2022,1.0,Annual Analysis Highlights,500112,good
36,Net Profit - YoY Growth in year ended Mar 2023 is 35.44% vs 92.47% in Mar 2022,Net Profit,YoY Growth in year ended Mar 2023 is 35.44% vs 92.47% in Mar 2022,-1.0,Annual Analysis Highlights,500112,bad
37,Operating Profit (PBDIT) - YoY Growth in year ended Mar 2023 is 11.18% vs 7.54% in Mar 2022,Operating Profit (PBDIT),YoY Growth in year ended Mar 2023 is 11.18% vs 7.54% in Mar 2022,1.0,Annual Analysis Highlights,500112,good
38,% of Net NPAs - YoY Growth in year ended Mar 2023 is -0.35% vs -0.48% in Mar 2022,% of Net NPAs,YoY Growth in year ended Mar 2023 is -0.35% vs -0.48% in Mar 2022,-1.0,Annual Analysis Highlights,500112,bad
39,% of Gross NPAs - YoY Growth in year ended Mar 2023 is -1.19% vs -1.01% in Mar 2022,% of Gross NPAs,YoY Growth in year ended Mar 2023 is -1.19% vs -1.01% in Mar 2022,1.0,Annual Analysis Highlights,500112,good
40,Net Sales - YoY Growth in year ended Mar 2023 is 12.52% vs -2.24% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 12.52% vs -2.24% in Mar 2022,1.0,Annual Analysis Highlights,500010,good
41,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 15.78% vs 20.57% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 15.78% vs 20.57% in Mar 2022,-1.0,Annual Analysis Highlights,500010,bad
42,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 24.44% vs 0.37% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 24.44% vs 0.37% in Mar 2022,1.0,Annual Analysis Highlights,500010,good
43,Interest - YoY Growth in year ended Mar 2023 is 35.31% vs -6.36% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 35.31% vs -6.36% in Mar 2022,-1.0,Annual Analysis Highlights,500010,bad
44,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500010,good
45,Net Sales - YoY Growth in year ended Mar 2023 is 19.39% vs 15.83% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 19.39% vs 15.83% in Mar 2022,1.0,Annual Analysis Highlights,532454,good
46,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 96.15% vs 128.21% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 96.15% vs 128.21% in Mar 2022,-1.0,Annual Analysis Highlights,532454,bad
47,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 23.88% vs 26.81% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 23.88% vs 26.81% in Mar 2022,-1.0,Annual Analysis Highlights,532454,bad
48,Interest - YoY Growth in year ended Mar 2023 is 16.15% vs 10.11% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 16.15% vs 10.11% in Mar 2022,-1.0,Annual Analysis Highlights,532454,bad
49,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,532454,good
50,Net Sales - YoY Growth in year ended Mar 2023 is 30.84% vs 18.65% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 30.84% vs 18.65% in Mar 2022,1.0,Annual Analysis Highlights,500034,good
51,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 63.74% vs 59.02% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 63.74% vs 59.02% in Mar 2022,1.0,Annual Analysis Highlights,500034,good
52,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 45.47% vs 24.93% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 45.47% vs 24.93% in Mar 2022,1.0,Annual Analysis Highlights,500034,good
53,Interest - YoY Growth in year ended Mar 2023 is 28.77% vs 3.61% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 28.77% vs 3.61% in Mar 2022,-1.0,Annual Analysis Highlights,500034,bad
54,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500034,good
55,Interest Earned - YoY Growth in year ended Mar 2023 is 26.67% vs 0.74% in Mar 2022,Interest Earned,YoY Growth in year ended Mar 2023 is 26.67% vs 0.74% in Mar 2022,1.0,Annual Analysis Highlights,500247,good
56,Net Profit - YoY Growth in year ended Mar 2023 is 27.61% vs 23.09% in Mar 2022,Net Profit,YoY Growth in year ended Mar 2023 is 27.61% vs 23.09% in Mar 2022,1.0,Annual Analysis Highlights,500247,good
57,Operating Profit (PBDIT) - YoY Growth in year ended Mar 2023 is 23.21% vs 2.46% in Mar 2022,Operating Profit (PBDIT),YoY Growth in year ended Mar 2023 is 23.21% vs 2.46% in Mar 2022,1.0,Annual Analysis Highlights,500247,good
58,% of Net NPAs - YoY Growth in year ended Mar 2023 is -0.27% vs -0.57% in Mar 2022,% of Net NPAs,YoY Growth in year ended Mar 2023 is -0.27% vs -0.57% in Mar 2022,-1.0,Annual Analysis Highlights,500247,bad
59,% of Gross NPAs - YoY Growth in year ended Mar 2023 is -0.56% vs -0.91% in Mar 2022,% of Gross NPAs,YoY Growth in year ended Mar 2023 is -0.56% vs -0.91% in Mar 2022,-1.0,Annual Analysis Highlights,500247,bad
60,Net Sales - YoY Growth in year ended Mar 2023 is 8.43% vs 4.73% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 8.43% vs 4.73% in Mar 2022,1.0,Annual Analysis Highlights,543526,good
61,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 772.71% vs 38.69% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 772.71% vs 38.69% in Mar 2022,1.0,Annual Analysis Highlights,543526,good
62,"Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 378.38% vs 2,928.85% in Mar 2022",Operating Profit (PBDIT) excl Other Income,"YoY Growth in year ended Mar 2023 is 378.38% vs 2,928.85% in Mar 2022",-1.0,Annual Analysis Highlights,543526,bad
63,,Interest,No Interest in the last few periods;,,Annual Analysis Highlights,543526,
64,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,543526,good
65,Net Sales - YoY Growth in year ended Mar 2023 is 17.13% vs 15.11% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 17.13% vs 15.11% in Mar 2022,1.0,Annual Analysis Highlights,500510,good
66,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 20.78% vs -25.15% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 20.78% vs -25.15% in Mar 2022,1.0,Annual Analysis Highlights,500510,good
67,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 10.80% vs 3.67% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 10.80% vs 3.67% in Mar 2022,1.0,Annual Analysis Highlights,500510,good
68,Interest - YoY Growth in year ended Mar 2023 is 1.71% vs -21.77% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 1.71% vs -21.77% in Mar 2022,-1.0,Annual Analysis Highlights,500510,bad
69,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,500510,bad
70,Net Sales - YoY Growth in year ended Mar 2023 is 18.45% vs 13.63% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 18.45% vs 13.63% in Mar 2022,1.0,Annual Analysis Highlights,532281,good
71,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 10.02% vs 21.12% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 10.02% vs 21.12% in Mar 2022,-1.0,Annual Analysis Highlights,532281,bad
72,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 10.22% vs 2.40% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 10.22% vs 2.40% in Mar 2022,1.0,Annual Analysis Highlights,532281,good
73,Interest - YoY Growth in year ended Mar 2023 is 10.66% vs -37.57% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 10.66% vs -37.57% in Mar 2022,-1.0,Annual Analysis Highlights,532281,bad
74,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,532281,bad
75,Net Sales - YoY Growth in year ended Mar 2023 is 18.51% vs 34.03% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 18.51% vs 34.03% in Mar 2022,-1.0,Annual Analysis Highlights,500820,bad
76,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 35.50% vs -3.46% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 35.50% vs -3.46% in Mar 2022,1.0,Annual Analysis Highlights,500820,good
77,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 30.32% vs -1.07% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 30.32% vs -1.07% in Mar 2022,1.0,Annual Analysis Highlights,500820,good
78,Interest - YoY Growth in year ended Mar 2023 is 51.40% vs 4.13% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 51.40% vs 4.13% in Mar 2022,-1.0,Annual Analysis Highlights,500820,bad
79,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500820,good
80,Interest Earned - YoY Growth in year ended Mar 2023 is 26.40% vs 5.86% in Mar 2022,Interest Earned,YoY Growth in year ended Mar 2023 is 26.40% vs 5.86% in Mar 2022,1.0,Annual Analysis Highlights,532215,good
81,Net Profit - YoY Growth in year ended Mar 2023 is 27.88% vs 97.70% in Mar 2022,Net Profit,YoY Growth in year ended Mar 2023 is 27.88% vs 97.70% in Mar 2022,-1.0,Annual Analysis Highlights,532215,bad
82,Operating Profit (PBDIT) - YoY Growth in year ended Mar 2023 is 29.53% vs -3.74% in Mar 2022,Operating Profit (PBDIT),YoY Growth in year ended Mar 2023 is 29.53% vs -3.74% in Mar 2022,1.0,Annual Analysis Highlights,532215,good
83,% of Net NPAs - YoY Growth in year ended Mar 2023 is -0.34% vs -0.32% in Mar 2022,% of Net NPAs,YoY Growth in year ended Mar 2023 is -0.34% vs -0.32% in Mar 2022,1.0,Annual Analysis Highlights,532215,good
84,% of Gross NPAs - YoY Growth in year ended Mar 2023 is -0.80% vs -0.88% in Mar 2022,% of Gross NPAs,YoY Growth in year ended Mar 2023 is -0.80% vs -0.88% in Mar 2022,-1.0,Annual Analysis Highlights,532215,bad
85,Net Sales - YoY Growth in year ended Mar 2023 is 97.32% vs 75.58% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 97.32% vs 75.58% in Mar 2022,1.0,Annual Analysis Highlights,512599,good
86,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 218.45% vs -15.83% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 218.45% vs -15.83% in Mar 2022,1.0,Annual Analysis Highlights,512599,good
87,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 137.75% vs 48.23% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 137.75% vs 48.23% in Mar 2022,1.0,Annual Analysis Highlights,512599,good
88,Interest - YoY Growth in year ended Mar 2023 is 57.17% vs 83.45% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 57.17% vs 83.45% in Mar 2022,1.0,Annual Analysis Highlights,512599,good
89,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,512599,good
90,Net Sales - YoY Growth in year ended Mar 2023 is 33.10% vs 25.52% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 33.10% vs 25.52% in Mar 2022,1.0,Annual Analysis Highlights,532500,good
91,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 111.65% vs -11.61% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 111.65% vs -11.61% in Mar 2022,1.0,Annual Analysis Highlights,532500,good
92,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 93.08% vs 6.63% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 93.08% vs 6.63% in Mar 2022,1.0,Annual Analysis Highlights,532500,good
93,Interest - YoY Growth in year ended Mar 2023 is 47.71% vs 24.36% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 47.71% vs 24.36% in Mar 2022,-1.0,Annual Analysis Highlights,532500,bad
94,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,532500,good
95,Net Sales - YoY Growth in year ended Mar 2023 is 40.89% vs 33.06% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 40.89% vs 33.06% in Mar 2022,1.0,Annual Analysis Highlights,500114,good
96,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 49.56% vs 123.33% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 49.56% vs 123.33% in Mar 2022,-1.0,Annual Analysis Highlights,500114,bad
97,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 46.03% vs 93.79% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 46.03% vs 93.79% in Mar 2022,-1.0,Annual Analysis Highlights,500114,bad
98,Interest - YoY Growth in year ended Mar 2023 is 37.61% vs 7.39% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 37.61% vs 7.39% in Mar 2022,-1.0,Annual Analysis Highlights,500114,bad
99,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,500114,good
100,Net Sales - YoY Growth in year ended Mar 2023 is 13.53% vs 15.39% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 13.53% vs 15.39% in Mar 2022,-1.0,Annual Analysis Highlights,524715,bad
101,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 158.91% vs 12.70% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 158.91% vs 12.70% in Mar 2022,1.0,Annual Analysis Highlights,524715,good
102,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 12.01% vs 22.45% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 12.01% vs 22.45% in Mar 2022,-1.0,Annual Analysis Highlights,524715,bad
103,Interest - YoY Growth in year ended Mar 2023 is 35.06% vs -9.96% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 35.06% vs -9.96% in Mar 2022,-1.0,Annual Analysis Highlights,524715,bad
104,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has fallen from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has fallen from Mar 2022,-1.0,Annual Analysis Highlights,524715,bad
105,Net Sales - YoY Growth in year ended Mar 2023 is 19.98% vs 12.90% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 19.98% vs 12.90% in Mar 2022,1.0,Annual Analysis Highlights,532978,good
106,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 40.83% vs 1.93% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 40.83% vs 1.93% in Mar 2022,1.0,Annual Analysis Highlights,532978,good
107,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 39.39% vs 9.22% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 39.39% vs 9.22% in Mar 2022,1.0,Annual Analysis Highlights,532978,good
108,Interest - YoY Growth in year ended Mar 2023 is 28.46% vs 3.91% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 28.46% vs 3.91% in Mar 2022,-1.0,Annual Analysis Highlights,532978,bad
109,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,532978,good
110,Net Sales - YoY Growth in year ended Mar 2023 is 38.30% vs 28.30% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 38.30% vs 28.30% in Mar 2022,1.0,Annual Analysis Highlights,540376,good
111,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is 59.36% vs 35.75% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is 59.36% vs 35.75% in Mar 2022,1.0,Annual Analysis Highlights,540376,good
112,Operating Profit (PBDIT) excl Other Income - YoY Growth in year ended Mar 2023 is 45.57% vs 43.34% in Mar 2022,Operating Profit (PBDIT) excl Other Income,YoY Growth in year ended Mar 2023 is 45.57% vs 43.34% in Mar 2022,1.0,Annual Analysis Highlights,540376,good
113,Interest - YoY Growth in year ended Mar 2023 is 25.32% vs 29.15% in Mar 2022,Interest,YoY Growth in year ended Mar 2023 is 25.32% vs 29.15% in Mar 2022,1.0,Annual Analysis Highlights,540376,good
114,Operating Profit Margin (Excl OI) - YoY Growth in year ended Mar 2023 has improved from Mar 2022,Operating Profit Margin (Excl OI),YoY Growth in year ended Mar 2023 has improved from Mar 2022,1.0,Annual Analysis Highlights,540376,good
115,Net Sales - YoY Growth in year ended Mar 2023 is 20.23% vs 17.60% in Mar 2022,Net Sales,YoY Growth in year ended Mar 2023 is 20.23% vs 17.60% in Mar 2022,1.0,Annual Analysis Highlights,532538,good
116,Consolidated Net Profit - YoY Growth in year ended Mar 2023 is -31.05% vs 34.43% in Mar 2022,Consolidated Net Profit,YoY Growth in year ended Mar 2023 is -31.05% vs 34.43% in Mar 2022,-1.0,Annual Analysis Highlights,532538,bad
